time,positive,negative,totalCount,weatherPositive,weatherNegative,weatherCount,aqi
2019-06-27 02,263,1431,2369,4,57,76,20
2019-06-27 03,249,1379,2313,5,49,65,21
2019-06-27 10,15,85,134,0,4,5,19
2019-06-27 11,26,113,188,2,4,6,26
2019-06-27 12,30,171,258,3,7,10,28
2019-06-27 13,72,297,530,3,21,31,29
2019-06-27 14,116,655,1103,6,30,44,28
2019-06-27 15,182,911,1579,4,38,52,28
2019-06-27 16,209,1071,1778,9,53,71,26
2019-06-27 17,177,1175,1911,3,59,70,23
2019-06-28 01,232,1187,2055,10,63,92,24
2019-06-28 02,228,1333,2203,9,64,90,24
2019-06-28 03,260,1306,2244,6,66,88,29
2019-06-28 04,370,1799,3262,9,64,97,31
2019-06-28 05,358,1805,3348,6,67,84,32
2019-06-28 06,170,1009,1702,4,33,48,32
2019-06-28 14,78,460,809,2,17,31,40
